Date,Temperature(C),Humidity(%),Rainfall(mm),Wind Speed(km/h),Pressure(hPa)
2024-01-01,-7.7,61.6,179.1,0.2,1009.3
2024-01-02,43.1,57.7,152.6,2.6,1034.5
2024-01-03,-7.9,42.4,181.7,10.5,982.8
2024-01-04,30.4,27.9,131.9,14.0,1024.7
2024-01-05,41.4,86.7,175.0,17.6,1023.8
2024-01-06,35.7,84.6,121.1,3.8,1002.5
2024-01-07,6.0,53.2,113.2,19.4,999.0
2024-01-08,5.2,56.6,110.4,7.0,990.0
2024-01-09,14.4,29.3,71.9,10.6,1019.3
2024-01-10,9.0,82.0,59.1,5.6,1041.8
2024-01-11,37.1,66.5,55.4,18.8,995.2
2024-01-12,-3.2,59.6,69.9,16.2,1015.1
2024-01-13,17.8,99.4,130.3,16.8,994.2
2024-01-14,27.5,60.7,172.3,5.8,992.9
2024-01-15,-9.4,85.6,187.1,8.7,1025.8
2024-01-16,21.7,20.0,118.5,3.7,980.1
2024-01-17,6.3,36.4,159.3,19.2,1015.6
2024-01-18,9.0,69.9,67.3,5.1,1013.9
2024-01-19,28.0,24.0,48.6,4.5,988.3
2024-01-20,8.6,45.0,115.8,2.6,1004.1
2024-01-21,44.4,92.0,28.3,7.0,985.7
2024-01-22,34.1,47.0,155.9,0.4,981.4
2024-01-23,25.7,88.8,133.0,5.0,1046.9
2024-01-24,3.1,48.2,195.7,12.3,1008.3
2024-01-25,37.8,22.6,14.1,16.7,1010.1
2024-01-26,31.4,77.1,84.4,18.2,1033.4
2024-01-27,-3.9,94.5,185.8,3.8,1011.3
2024-01-28,-3.0,36.9,145.0,4.9,1002.3
2024-01-29,44.9,24.6,117.5,7.6,1020.4
2024-01-30,44.7,53.4,39.3,2.3,1010.1
2024-01-31,22.2,22.5,175.1,11.7,1048.7
2024-02-01,12.8,45.9,128.6,6.4,1003.7
2024-02-02,34.4,63.4,84.2,9.1,1045.4
2024-02-03,10.7,84.0,152.8,14.6,1047.5
2024-02-04,41.9,44.4,109.6,3.3,1003.7
2024-02-05,15.1,16.5,175.9,16.3,1028.1
2024-02-06,3.0,48.0,127.1,14.9,1025.7
2024-02-07,-9.0,40.1,169.2,0.8,1049.7
2024-02-08,19.3,25.1,52.7,15.9,1030.3
2024-02-09,14.2,34.3,46.1,19.9,1047.7
2024-02-10,-0.8,50.4,153.8,16.4,1038.1
2024-02-11,21.3,98.4,80.3,9.9,1008.6
2024-02-12,34.5,81.7,148.9,13.3,1045.7
2024-02-13,26.6,41.3,162.8,6.5,1040.6
2024-02-14,44.5,47.7,155.7,16.7,1013.1
2024-02-15,23.2,40.8,178.2,5.2,984.2
2024-02-16,11.9,73.7,162.0,4.9,1008.1
2024-02-17,-9.7,40.3,35.5,2.2,1015.0
2024-02-18,30.2,97.7,104.7,3.3,993.3
2024-02-19,19.3,22.2,198.5,12.4,1009.5
2024-02-20,19.0,16.3,144.1,10.2,1000.6
2024-02-21,38.5,78.0,43.7,16.2,999.1
2024-02-22,28.3,74.3,71.1,14.7,1013.6
2024-02-23,25.4,45.3,62.7,13.2,982.5
2024-02-24,-10.0,26.9,23.1,15.7,1011.8
2024-02-25,16.5,91.5,125.6,18.4,1035.2
2024-02-26,10.9,56.9,109.7,3.6,1011.5
2024-02-27,41.6,30.2,79.8,7.3,1040.0
2024-02-28,21.8,59.8,170.4,11.8,1008.3
2024-02-29,-0.7,41.2,123.9,10.0,1019.3
2024-03-01,27.9,86.6,161.8,0.0,993.7
2024-03-02,12.7,32.8,64.3,10.1,983.6
2024-03-03,15.0,53.4,32.5,0.2,986.9
2024-03-04,1.4,52.4,161.0,2.4,1032.6
